crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
330366783,2018-02-14,2018-02-14,2018-10-24,"ec-01.epicgames.net","build.epicgames.net
builds.epicgames.net
ec-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
330366790,2018-02-14,2018-02-14,2020-03-06,"rdu-ems-01.epicgames.net","monitoring.it.epicgames.net
rdu-ems-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
330366793,2018-02-14,2018-02-14,2019-02-01,"ec-01.epicgames.net","build.epicgames.net
builds.epicgames.net
ec-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
330400660,2018-02-14,2018-01-29,2019-02-28,"*.epicgames-ci.ol.epicgames.net","*.epicgames-ci.ol.epicgames.net
*.epicgames-gamedev.ol.epicgames.net
*.epicgames-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
334442846,2018-02-18,2018-02-14,2020-02-14,"nclvpn.epicgames.com","ncl-fw-01.ncl.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
339201013,2018-02-23,2017-04-03,2018-05-03,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
342083576,2018-02-26,2018-02-26,2019-05-28,"releasenotes.epicgames.net","releasenotes.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte RSA CA 2018"
372193601,2018-04-01,2018-03-19,2019-04-19,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
380562109,2018-04-06,2018-04-03,2019-05-03,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
417910495,2018-04-24,2018-04-24,2019-04-24,"*.infosec.epicgames.net","*.infosec.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
419645060,2018-04-25,2018-04-25,2019-05-25,"*.payment-ci.ol.epicgames.net","*.payment-ci.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
480152899,2018-05-23,2018-05-23,2019-05-23,"robomerge.epicgames.net","robomerge.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
551092776,2018-06-27,2018-06-27,2019-07-27,"feedback-stage.epicgames.com","feedback-stage.epicgames.net
feedback-stage.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
551097224,2018-06-27,2018-06-27,2019-07-27,"feedback-stage.epicgames.com","feedback-stage.epicgames.net
feedback-stage.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
551097394,2018-06-27,2018-06-27,2019-07-27,"feedback.epicgames.com","feedback.epicgames.net
feedback.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
576816134,2018-07-06,2018-07-06,2019-08-06,"*.epicgames-gamedev.ol.epicgames.net","*.epicgames-gamedev.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
590198156,2018-07-10,2018-07-10,2020-07-09,"sfovpn.epicgames.com","sfo-fw-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
593926539,2018-07-11,2018-07-11,2020-07-10,"egcvpn2.epicgames.com","pvg2-fw-01.egc.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
606747726,2018-07-18,2018-07-18,2019-08-18,"*.epicgames-lt.ol.epicgames.net","*.epicgames-lt.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
606442328,2018-07-21,2018-07-11,2020-07-10,"egcvpn2.epicgames.com","pvg2-fw-01.egc.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
606475230,2018-07-21,2018-07-10,2020-07-09,"sfovpn.epicgames.com","sfo-fw-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
606863661,2018-07-21,2018-07-06,2019-08-06,"*.epicgames-gamedev.ol.epicgames.net","*.epicgames-gamedev.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
682742707,2018-08-27,2018-08-27,2019-09-27,"github.ol.epicgames.net","*.github.ol.epicgames.net
github.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
774692088,2018-09-21,2018-09-21,2019-09-21,"secretserver.epicgames.net","secretserver.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
775365670,2018-09-21,2018-09-21,2020-09-20,"acs-03.epicgames.net","acs-03.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
775365940,2018-09-21,2018-09-21,2020-09-20,"acs-04.epicgames.net","acs-04.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=Thawte TLS RSA CA G1"
783633571,2018-09-24,2018-09-24,2019-10-24,"jira.epicgames.net","jira.epicgames.net
jira.it.epicgames.net
jira.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
788084111,2018-09-26,2018-09-26,2020-09-25,"dashboard.epicgames.net","dashboard.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
791966324,2018-09-27,2018-09-27,2020-09-26,"awsuse1-nps-01.epicgames.net","awsuse1-nps-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
791838451,2018-09-27,2018-09-27,2020-09-26,"awsuse1-nps-02.epicgames.net","awsuse1-nps-02.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
795312605,2018-09-28,2018-09-28,2020-09-26,"awsuse1-nps-01.epicgames.net","awsuse1-nps-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
795312611,2018-09-28,2018-09-28,2020-09-26,"awsuse1-nps-02.epicgames.net","awsuse1-nps-02.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
795986329,2018-09-28,2018-09-28,2020-09-26,"awsuse1-nps-01.epicgames.net","awsuse1-nps-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust RSA CA 2018"
845521330,2018-10-10,2018-10-10,2020-10-09,"prism.epicgames.net","prism.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
875449140,2018-10-19,2018-10-19,2020-10-18,"tableau.epicgames.net","tableau.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
901014966,2018-10-29,2018-10-29,2019-11-29,"*.qa.epicgames.net","*.qa.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
919679498,2018-11-05,2018-11-05,2019-12-05,"wiki.epicgames.net","epicwiki.epicgames.net
wiki.epicgames.net
wiki.it.epicgames.net
wiki.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
926465453,2018-11-07,2018-11-07,2019-12-07,"jira-stage.epicgames.net","jira-stage.epicgames.net
jira-stage.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
962582415,2018-11-20,2018-11-20,2020-12-19,"unity-01.epicgames.net","epicgames.net
unity-01.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
962671620,2018-11-20,2018-11-20,2019-12-20,"*.on.epicgames.net","*.dev.use1a.on.epicgames.net
*.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
984869852,2018-11-28,2018-11-28,2019-12-28,"*.epicgames-lt.ol.epicgames.net","*.epicgames-lt.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1042854297,2018-12-19,2018-11-20,2019-12-20,"*.on.epicgames.net","*.dev.use1a.on.epicgames.net
*.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1069403696,2018-12-31,2018-12-31,2020-01-31,"*.epicgames-ci.ol.epicgames.net","*.epicgames-ci.ol.epicgames.net
*.epicgames-gamedev.ol.epicgames.net
*.epicgames-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1069403712,2018-12-31,2018-12-31,2020-01-31,"*.launcher-ci.ol.epicgames.net","*.launcher-ci.ol.epicgames.net
*.launcher-gamedev.ol.epicgames.net
*.launcher-lt.ol.epicgames.net
*.launcher-releaseqa.ol.epicgames.net
*.launcher-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1071807375,2019-01-01,2019-01-01,2020-02-01,"*.unrealengine-ci.ol.epicgames.net","*.unrealengine-ci.ol.epicgames.net
*.unrealengine-gamedev.ol.epicgames.net
*.unrealengine-gdc.ol.epicgames.net
*.unrealengine-lt.ol.epicgames.net
*.unrealengine-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1073834053,2019-01-02,2019-01-02,2020-02-02,"*.epicgames-ci.ol.epicgames.net","*.epicgames-ci.ol.epicgames.net
*.epicgames-gamedev.ol.epicgames.net
*.epicgames-stage.ol.epicgames.net
*.unrealengine-ci.ol.epicgames.net
*.unrealengine-gamedev.ol.epicgames.net
*.unrealengine-gdc.ol.epicgames.net
*.unrealengine-lt.ol.epicgames.net
*.unrealengine-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1084729289,2019-01-06,2019-01-06,2020-02-06,"*.unrealengine-ci.ol.epicgames.net","*.unrealengine-ci.ol.epicgames.net
unrealengine-ci.ol.epicgames.net
*.unrealengine-gamedev.ol.epicgames.net
unrealengine-gamedev.ol.epicgames.net
*.unrealengine-gdc.ol.epicgames.net
unrealengine-gdc.ol.epicgames.net
*.unrealengine-lt.ol.epicgames.net
unrealengine-lt.ol.epicgames.net
*.unrealengine-stage.ol.epicgames.net
unrealengine-stage.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1159453628,2019-01-30,2019-01-30,2021-01-29,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
